Estatura;Peso;Lfemur;Genero;IMC
167.9177;84.29642;50.21608;Hombre;Sobrepeso
174.8713;67.22936;52.09297;Hombre;Normal
166.9865;67.24971;48.91690;Hombre;Normal
164.3221;72.50666;44.59716;Hombre;Sobrepeso
168.7221;82.04224;47.63802;Hombre;Sobrepeso
176.2608;66.26800;52.27008;Hombre;Normal
161.1077;72.10416;50.08119;Hombre;Sobrepeso
167.2590;86.09634;47.62418;Hombre;Sobrepeso
168.2103;68.70684;48.25289;Hombre;Normal
175.0635;70.73527;48.81624;Hombre;Normal
178.4957;76.92494;50.93866;Hombre;Normal
175.0477;81.82700;51.48965;Hombre;Sobrepeso
171.0803;82.18501;46.70145;Hombre;Sobrepeso
171.8837;67.97741;45.47623;Hombre;Normal
170.9341;69.01935;46.50840;Hombre;Normal
170.5613;67.50214;52.14923;Hombre;Normal
166.8853;77.99382;47.42882;Hombre;Sobrepeso
172.6762;74.49333;49.99263;Hombre;Normal
170.2542;79.01966;46.79084;Hombre;Sobrepeso
184.1953;65.92162;51.31947;Hombre;Normal
179.2217;75.96621;49.63675;Hombre;Normal
164.7260;65.86959;47.36901;Hombre;Normal
170.5993;79.50499;53.09814;Hombre;Sobrepeso
182.4199;70.37377;53.95561;Hombre;Normal
174.8725;78.24707;47.88233;Hombre;Sobrepeso
170.6628;77.10322;44.86148;Hombre;Sobrepeso
172.6731;76.67536;47.27213;Hombre;Sobrepeso
171.0702;77.64698;51.95778;Hombre;Sobrepeso
173.3537;70.76643;51.05375;Hombre;Normal
174.1628;73.50532;50.25940;Hombre;Normal
176.0448;77.71381;51.69964;Hombre;Sobrepeso
180.4286;72.63922;57.43893;Hombre;Normal
178.0909;65.65857;55.21868;Hombre;Normal
181.8756;77.74081;49.98438;Hombre;Normal
185.4069;67.76941;47.09483;Hombre;Normal
174.5688;66.76855;50.75296;Hombre;Normal
165.9317;63.33385;44.42884;Hombre;Normal
157.8127;74.64624;40.65851;Hombre;Sobrepeso
166.2835;68.71667;48.66633;Hombre;Normal
188.7986;76.45234;55.59342;Hombre;Normal
181.7870;75.78156;54.20759;Hombre;Normal
188.4510;72.30889;57.76250;Hombre;Normal
168.1379;72.34591;46.11104;Hombre;Sobrepeso
187.1422;90.32264;52.66082;Hombre;Sobrepeso
173.9028;77.97692;48.75696;Hombre;Sobrepeso
184.7889;73.74985;52.45324;Hombre;Normal
181.2157;71.19518;50.72885;Hombre;Normal
173.9400;65.58404;50.86499;Hombre;Normal
174.1632;79.71562;49.18116;Hombre;Sobrepeso
178.3906;80.25517;52.90733;Hombre;Sobrepeso
168.0924;76.64463;46.76555;Hombre;Sobrepeso
171.2953;71.37460;46.00653;Hombre;Normal
175.2088;73.97835;47.92763;Hombre;Normal
168.8981;64.52539;46.29660;Hombre;Normal
186.9556;84.88632;53.35034;Hombre;Normal
181.3996;75.14753;49.21890;Hombre;Normal
174.4840;72.82886;48.75865;Hombre;Normal
158.4368;78.31850;45.52887;Hombre;Sobrepeso
176.4647;78.47201;51.88980;Hombre;Sobrepeso
175.0314;76.19029;43.80342;Hombre;Normal
168.6591;66.86020;47.80945;Hombre;Normal
184.3731;65.80397;55.92898;Hombre;Normal
169.5436;69.36485;49.86820;Hombre;Normal
